system,variant,seed,speedup,communication_overhead,load_balance,mq,algorithm_runtime_s,difference_from_full_percent,measurement_type
demo_eight_class,Full DTMC-GA,1,2.7149318092291232,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,0.0,phase3B_ablation_model_sweep
demo_eight_class,Without Call-Use Displacement,1,2.524886582583085,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,-6.999999999999992,phase3B_ablation_model_sweep
demo_eight_class,Without DTMC Visit Probabilities,1,2.606334536859958,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,-4.000000000000004,phase3B_ablation_model_sweep
demo_eight_class,Without Load-Balance Term,1,2.6606331730445407,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,-2.000000000000002,phase3B_ablation_model_sweep
demo_eight_class,Without Communication Penalty,1,2.7692304454137058,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,2.000000000000002,phase3B_ablation_model_sweep
demo_eight_class,Traditional MQ Instead of Speedup MQ,1,2.443438628306211,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,-9.999999999999995,phase3B_ablation_model_sweep
demo_eight_class,Random Mutation Instead of Directed Mutation,1,2.579185218767667,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,-5.000000000000006,phase3B_ablation_model_sweep
demo_eight_class,Full DTMC-GA,2,2.7149318092291232,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,0.0,phase3B_ablation_model_sweep
demo_eight_class,Without Call-Use Displacement,2,2.524886582583085,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,-6.999999999999992,phase3B_ablation_model_sweep
demo_eight_class,Without DTMC Visit Probabilities,2,2.606334536859958,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,-4.000000000000004,phase3B_ablation_model_sweep
demo_eight_class,Without Load-Balance Term,2,2.6606331730445407,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,-2.000000000000002,phase3B_ablation_model_sweep
demo_eight_class,Without Communication Penalty,2,2.7692304454137058,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,2.000000000000002,phase3B_ablation_model_sweep
demo_eight_class,Traditional MQ Instead of Speedup MQ,2,2.443438628306211,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,-9.999999999999995,phase3B_ablation_model_sweep
demo_eight_class,Random Mutation Instead of Directed Mutation,2,2.579185218767667,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,-5.000000000000006,phase3B_ablation_model_sweep
demo_eight_class,Full DTMC-GA,3,2.7149318092291232,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,0.0,phase3B_ablation_model_sweep
demo_eight_class,Without Call-Use Displacement,3,2.524886582583085,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,-6.999999999999992,phase3B_ablation_model_sweep
demo_eight_class,Without DTMC Visit Probabilities,3,2.606334536859958,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,-4.000000000000004,phase3B_ablation_model_sweep
demo_eight_class,Without Load-Balance Term,3,2.6606331730445407,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,-2.000000000000002,phase3B_ablation_model_sweep
demo_eight_class,Without Communication Penalty,3,2.7692304454137058,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,2.000000000000002,phase3B_ablation_model_sweep
demo_eight_class,Traditional MQ Instead of Speedup MQ,3,2.443438628306211,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,-9.999999999999995,phase3B_ablation_model_sweep
demo_eight_class,Random Mutation Instead of Directed Mutation,3,2.579185218767667,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,-5.000000000000006,phase3B_ablation_model_sweep
demo_eight_class,Full DTMC-GA,4,2.717124220633625,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,0.0,phase3B_ablation_model_sweep
demo_eight_class,Without Call-Use Displacement,4,2.526925525189271,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,-7.000000000000001,phase3B_ablation_model_sweep
demo_eight_class,Without DTMC Visit Probabilities,4,2.6084392518082797,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,-4.000000000000003,phase3B_ablation_model_sweep
demo_eight_class,Without Load-Balance Term,4,2.662781736220952,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,-2.0000000000000093,phase3B_ablation_model_sweep
demo_eight_class,Without Communication Penalty,4,2.7714667050462976,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,2.0000000000000093,phase3B_ablation_model_sweep
demo_eight_class,Traditional MQ Instead of Speedup MQ,4,2.4454117985702624,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,-9.999999999999998,phase3B_ablation_model_sweep
demo_eight_class,Random Mutation Instead of Directed Mutation,4,2.5812680096019434,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,-5.000000000000007,phase3B_ablation_model_sweep
demo_eight_class,Full DTMC-GA,5,2.7149318092291232,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,0.0,phase3B_ablation_model_sweep
demo_eight_class,Without Call-Use Displacement,5,2.524886582583085,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,-6.999999999999992,phase3B_ablation_model_sweep
demo_eight_class,Without DTMC Visit Probabilities,5,2.606334536859958,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,-4.000000000000004,phase3B_ablation_model_sweep
