system,algorithm,seed,run_id,modules,speedup,communication_overhead,load_balance,mq,algorithm_runtime_s,memory_mb,measured_runtime_s,sequential_runtime_s,benchmark_type,measurement_type,status,notes
demo_eight_class,DTMC-GA,1,demo_eight_class_DTMC-GA_1,2,2.7149318092291232,0.08893545742229071,0.9842155946017612,15.324000000000002,0.08331615700080874,,37.88907037778548,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,2,demo_eight_class_DTMC-GA_2,2,2.7149318092291232,0.08893545742229071,0.9842155946017612,15.324000000000002,0.10858750800070993,,38.0270484778177,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,3,demo_eight_class_DTMC-GA_3,2,2.7149318092291232,0.08893545742229071,0.9842155946017612,15.324000000000002,0.07950284599974111,,36.93684528675169,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,4,demo_eight_class_DTMC-GA_4,2,2.717124220633625,0.09333336465745895,0.9901702185067851,15.574000000000002,0.08459911000136344,,37.760227524200424,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,5,demo_eight_class_DTMC-GA_5,2,2.7149318092291232,0.08893545742229071,0.9842155946017612,15.324000000000002,0.08429440699910629,,38.65169680315515,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,6,demo_eight_class_DTMC-GA_6,2,2.717124220633625,0.09333336465745895,0.9901702185067851,15.574000000000002,0.08408510299886984,,37.231142309561356,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,7,demo_eight_class_DTMC-GA_7,2,2.7431517712290936,0.06596860852752333,0.9888071678785256,13.241000000000001,0.08454347200131451,,37.973945451681935,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,8,demo_eight_class_DTMC-GA_8,2,2.7149318092291232,0.08893545742229071,0.9842155946017612,15.324000000000002,0.08206753099875641,,36.90161406378858,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,9,demo_eight_class_DTMC-GA_9,2,2.717124220633625,0.09333336465745895,0.9901702185067851,15.574000000000002,0.08163437099938164,,37.512803793294076,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,10,demo_eight_class_DTMC-GA_10,2,2.8235199378201243,0.05228623046255554,0.98763950334715,12.782,0.08161195699904056,,36.416418482335615,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,11,demo_eight_class_DTMC-GA_11,2,2.717124220633625,0.09333336465745895,0.9901702185067851,15.574000000000002,0.0824307669990958,,37.260324601231,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,12,demo_eight_class_DTMC-GA_12,2,2.692087549434238,0.07965098659249115,0.9666168897324607,14.717,0.08288603100118053,,38.52075468446012,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,13,demo_eight_class_DTMC-GA_13,2,2.7149318092291232,0.08893545742229071,0.9842155946017612,15.324000000000002,0.08228153300115082,,36.372811475080425,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,14,demo_eight_class_DTMC-GA_14,2,2.7149318092291232,0.08893545742229071,0.9842155946017612,15.324000000000002,0.08634270500078856,,37.04847654796419,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
demo_eight_class,DTMC-GA,15,demo_eight_class_DTMC-GA_15,2,2.717124220633625,0.09333336465745895,0.9901702185067851,15.574000000000002,0.08463578100054292,,37.44014713670014,102.32139423076923,phase3B_csv_fixture,deterministic_model_run_with_surrogate_runtime_validation,phase3B_generated,Generated by Phase 3B executable benchmark-suite runner from included CSV fixture; not external large-system runtime evidence
